Row Labels,Sum of 10-Year-GlobalMA,Sum of 10-Year-RiyadhMA
1853,8.04,23.28
1854,8.05,23.28
1855,8.09,24.33
1856,8.10,24.75
1857,8.03,24.70
1858,8.03,24.73
1859,8.06,24.76
1860,8.06,24.77
1861,8.05,24.76
1862,7.99,24.64
1863,8.00,24.59
1864,7.99,24.60
1865,7.99,24.64
1866,8.00,24.64
1867,8.04,24.70
1868,8.09,24.77
1869,8.12,24.80
1870,8.11,24.80
1871,8.13,24.78
1872,8.16,24.85
1873,8.23,24.99
1874,8.26,25.05
1875,8.25,24.99
1876,8.24,24.96
1877,8.26,25.01
1878,8.30,25.04
1879,8.29,25.06
1880,8.26,25.02
1881,8.27,25.07
1882,8.27,25.07
1883,8.25,25.09
1884,8.20,25.05
1885,8.15,25.05
1886,8.16,25.10
1887,8.14,25.10
1888,8.10,25.07
1889,8.06,25.07
1890,8.04,25.05
1891,8.03,25.11
1892,8.01,25.07
1893,8.01,25.12
1894,8.02,25.07
1895,8.06,25.06
1896,8.08,25.05
1897,8.11,25.04
1898,8.14,25.04
1899,8.17,25.04
1900,8.18,25.02
1901,8.23,25.07
1902,8.26,25.05
1903,8.27,25.00
1904,8.28,24.99
1905,8.28,25.01
1906,8.30,25.02
1907,8.28,24.98
1908,8.27,24.99
1909,8.27,25.05
1910,8.25,25.02
1911,8.23,24.93
1912,8.19,24.87
1913,8.19,24.82
1914,8.23,24.84
1915,8.27,24.87
1916,8.27,24.87
1917,8.24,24.89
1918,8.25,24.91
1919,8.27,24.95
1920,8.29,24.89
1921,8.32,24.90
1922,8.34,25.00
1923,8.36,25.01
1924,8.38,25.11
1925,8.38,25.11
1926,8.39,25.09
1927,8.42,25.13
1928,8.47,25.17
1929,8.48,25.23
1930,8.50,25.23
1931,8.54,25.27
1932,8.55,25.28
1933,8.54,25.22
1934,8.56,25.21
1935,8.56,25.20
1936,8.57,25.21
1937,8.56,25.20
1938,8.59,25.19
1939,8.61,25.17
1940,8.65,25.18
1941,8.67,25.18
1942,8.67,25.19
1943,8.67,25.19
1944,8.72,25.27
1945,8.71,25.30
1946,8.73,25.29
1947,8.75,25.37
1948,8.75,25.35
1949,8.73,25.32
1950,8.69,25.31
1951,8.68,25.36
1952,8.67,25.39
1953,8.68,25.39
1954,8.67,25.47
1955,8.65,25.45
1956,8.62,25.42
1957,8.62,25.35
1958,8.62,25.31
1959,8.62,25.25
1960,8.62,25.33
1961,8.66,25.34
1962,8.67,25.34
1963,8.69,25.32
1964,8.65,25.29
1965,8.64,25.27
1966,8.64,25.35
1967,8.68,25.33
1968,8.66,25.38
1969,8.64,25.42
1970,8.64,25.57
1971,8.64,25.50
1972,8.62,25.47
1973,8.63,25.42
1974,8.60,25.41
1975,8.63,25.40
1976,8.61,25.35
1977,8.63,25.33
1978,8.63,25.43
1979,8.65,25.52
1980,8.69,25.50
1981,8.73,25.51
1982,8.73,25.48
1983,8.78,25.49
1984,8.76,25.44
1985,8.78,25.43
1986,8.78,25.46
1987,8.84,25.59
1988,8.87,25.59
1989,8.89,25.51
1990,8.94,25.46
1991,8.96,25.42
1992,8.93,25.28
1993,8.95,25.35
1994,8.95,25.47
1995,9.01,25.52
1996,9.04,25.61
1997,9.08,25.62
1998,9.13,25.65
1999,9.13,25.74
2000,9.16,25.87
2001,9.18,25.96
2002,9.21,26.05
2003,9.27,26.26
2004,9.32,26.33
2005,9.38,26.35
2006,9.39,26.40
2007,9.45,26.42
2008,9.48,26.49
2009,9.47,26.48
2010,9.51,26.52
2011,9.54,26.51
2012,9.55,26.53
2013,9.55,26.65
Grand Total,1371.798182,4062.666081
