Row Labels,Sum of avg_temp,Sum of avg_temp-c
1750,8.72,24.74
1843,8.72,24.74
1751,7.98,15.45
1844,7.98,15.45
1752,5.78,20.82
1845,5.78,20.82
1753,8.39,
1846,8.39,
1754,8.47,
1847,8.47,
1755,8.36,24.56
1848,8.36,24.56
1756,8.85,24.8
1849,8.85,24.8
1757,9.02,24.34
1850,9.02,24.34
1758,6.74,25.03
1851,6.74,25.03
1759,7.99,24.85
1852,7.99,24.85
1760,7.19,24.93
1853,7.19,24.93
1761,8.77,24.72
1854,8.77,24.72
1762,8.61,24.92
1855,8.61,24.92
1763,7.5,24.57
1856,7.5,24.57
1764,8.4,24.26
1857,8.4,24.26
1765,8.25,25.01
1858,8.25,25.01
1766,8.41,24.95
1859,8.41,24.95
1767,8.22,24.94
1860,8.22,24.94
1768,6.78,24.13
1861,6.78,24.13
1769,7.69,23.77
1862,7.69,23.77
1770,7.69,24.28
1863,7.69,24.28
1771,7.85,25.03
1864,7.85,25.03
1772,8.19,25.23
1865,8.19,25.23
1773,8.22,24.92
1866,8.22,24.92
1774,8.77,25.22
1867,8.77,25.22
1775,9.18,25
1868,9.18,25
1776,8.3,25.3
1869,8.3,25.3
1777,8.26,25.02
1870,8.26,25.02
1778,8.54,24.73
1871,8.54,24.73
1779,8.98,24.87
1872,8.98,24.87
1780,9.43,25.24
1873,9.43,25.24
1781,8.1,24.98
1874,8.1,24.98
1782,7.9,24.43
1875,7.9,24.43
1783,7.68,24.89
1876,7.68,24.89
1784,7.86,25.47
1877,7.86,25.47
1785,7.36,25.51
1878,7.36,25.51
1786,8.26,25.24
1879,8.26,25.24
1787,8.03,24.8
1880,8.03,24.8
1788,8.45,25.63
1881,8.45,25.63
1789,8.33,24.66
1882,8.33,24.66
1790,7.98,25.19
1883,7.98,25.19
1791,8.23,24.8
1884,8.23,24.8
1792,8.09,24.98
1885,8.09,24.98
1793,8.23,24.98
1886,8.23,24.98
1794,8.53,24.81
1887,8.53,24.81
1795,8.35,25.13
1888,8.35,25.13
1796,8.27,25.52
1889,8.27,25.52
1797,8.51,25.07
1890,8.51,25.07
1798,8.67,25.39
1891,8.67,25.39
1799,8.51,25.22
1892,8.51,25.22
1800,8.48,25.19
1893,8.48,25.19
1801,8.59,24.66
1894,8.59,24.66
1802,8.58,24.69
1895,8.58,24.69
1803,8.5,24.88
1896,8.5,24.88
1804,8.84,24.86
1897,8.84,24.86
1805,8.56,24.88
1898,8.56,24.88
1806,8.43,25.12
1899,8.43,25.12
1807,8.28,25.29
1900,8.28,25.29
1808,7.63,25.55
1901,7.63,25.55
1809,7.08,25.25
1902,7.08,25.25
1810,6.92,24.64
1903,6.92,24.64
