city,country,year,city,country,avg_temp
Riyadh,Saudi Arabia,1843,Riyadh,Saudi Arabia,24.74
Riyadh,Saudi Arabia,1844,Riyadh,Saudi Arabia,15.45
Riyadh,Saudi Arabia,1845,Riyadh,Saudi Arabia,20.82
Riyadh,Saudi Arabia,1846,Riyadh,Saudi Arabia,
Riyadh,Saudi Arabia,1847,Riyadh,Saudi Arabia,
Riyadh,Saudi Arabia,1848,Riyadh,Saudi Arabia,24.56
Riyadh,Saudi Arabia,1849,Riyadh,Saudi Arabia,24.80
Riyadh,Saudi Arabia,1850,Riyadh,Saudi Arabia,24.34
Riyadh,Saudi Arabia,1851,Riyadh,Saudi Arabia,25.03
Riyadh,Saudi Arabia,1852,Riyadh,Saudi Arabia,24.85
Riyadh,Saudi Arabia,1853,Riyadh,Saudi Arabia,24.93
Riyadh,Saudi Arabia,1854,Riyadh,Saudi Arabia,24.72
Riyadh,Saudi Arabia,1855,Riyadh,Saudi Arabia,24.92
Riyadh,Saudi Arabia,1856,Riyadh,Saudi Arabia,24.57
Riyadh,Saudi Arabia,1857,Riyadh,Saudi Arabia,24.26
Riyadh,Saudi Arabia,1858,Riyadh,Saudi Arabia,25.01
Riyadh,Saudi Arabia,1859,Riyadh,Saudi Arabia,24.95
Riyadh,Saudi Arabia,1860,Riyadh,Saudi Arabia,24.94
Riyadh,Saudi Arabia,1861,Riyadh,Saudi Arabia,24.13
Riyadh,Saudi Arabia,1862,Riyadh,Saudi Arabia,23.77
Riyadh,Saudi Arabia,1863,Riyadh,Saudi Arabia,24.28
Riyadh,Saudi Arabia,1864,Riyadh,Saudi Arabia,25.03
Riyadh,Saudi Arabia,1865,Riyadh,Saudi Arabia,25.23
Riyadh,Saudi Arabia,1866,Riyadh,Saudi Arabia,24.92
Riyadh,Saudi Arabia,1867,Riyadh,Saudi Arabia,25.22
Riyadh,Saudi Arabia,1868,Riyadh,Saudi Arabia,25.00
Riyadh,Saudi Arabia,1869,Riyadh,Saudi Arabia,25.30
Riyadh,Saudi Arabia,1870,Riyadh,Saudi Arabia,25.02
Riyadh,Saudi Arabia,1871,Riyadh,Saudi Arabia,24.73
Riyadh,Saudi Arabia,1872,Riyadh,Saudi Arabia,24.87
Riyadh,Saudi Arabia,1873,Riyadh,Saudi Arabia,25.24
Riyadh,Saudi Arabia,1874,Riyadh,Saudi Arabia,24.98
Riyadh,Saudi Arabia,1875,Riyadh,Saudi Arabia,24.43
Riyadh,Saudi Arabia,1876,Riyadh,Saudi Arabia,24.89
Riyadh,Saudi Arabia,1877,Riyadh,Saudi Arabia,25.47
Riyadh,Saudi Arabia,1878,Riyadh,Saudi Arabia,25.51
Riyadh,Saudi Arabia,1879,Riyadh,Saudi Arabia,25.24
Riyadh,Saudi Arabia,1880,Riyadh,Saudi Arabia,24.80
Riyadh,Saudi Arabia,1881,Riyadh,Saudi Arabia,25.63
Riyadh,Saudi Arabia,1882,Riyadh,Saudi Arabia,24.66
Riyadh,Saudi Arabia,1883,Riyadh,Saudi Arabia,25.19
Riyadh,Saudi Arabia,1884,Riyadh,Saudi Arabia,24.80
Riyadh,Saudi Arabia,1885,Riyadh,Saudi Arabia,24.98
Riyadh,Saudi Arabia,1886,Riyadh,Saudi Arabia,24.98
Riyadh,Saudi Arabia,1887,Riyadh,Saudi Arabia,24.81
Riyadh,Saudi Arabia,1888,Riyadh,Saudi Arabia,25.13
Riyadh,Saudi Arabia,1889,Riyadh,Saudi Arabia,25.52
Riyadh,Saudi Arabia,1890,Riyadh,Saudi Arabia,25.07
Riyadh,Saudi Arabia,1891,Riyadh,Saudi Arabia,25.39
Riyadh,Saudi Arabia,1892,Riyadh,Saudi Arabia,25.22
Riyadh,Saudi Arabia,1893,Riyadh,Saudi Arabia,25.19
Riyadh,Saudi Arabia,1894,Riyadh,Saudi Arabia,24.66
Riyadh,Saudi Arabia,1895,Riyadh,Saudi Arabia,24.69
Riyadh,Saudi Arabia,1896,Riyadh,Saudi Arabia,24.88
Riyadh,Saudi Arabia,1897,Riyadh,Saudi Arabia,24.86
Riyadh,Saudi Arabia,1898,Riyadh,Saudi Arabia,24.88
Riyadh,Saudi Arabia,1899,Riyadh,Saudi Arabia,25.12
Riyadh,Saudi Arabia,1900,Riyadh,Saudi Arabia,25.29
Riyadh,Saudi Arabia,1901,Riyadh,Saudi Arabia,25.55
Riyadh,Saudi Arabia,1902,Riyadh,Saudi Arabia,25.25
Riyadh,Saudi Arabia,1903,Riyadh,Saudi Arabia,24.64
Riyadh,Saudi Arabia,1904,Riyadh,Saudi Arabia,25.07
Riyadh,Saudi Arabia,1905,Riyadh,Saudi Arabia,24.87
Riyadh,Saudi Arabia,1906,Riyadh,Saudi Arabia,24.85
Riyadh,Saudi Arabia,1907,Riyadh,Saudi Arabia,24.44
